,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,9942,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19273206.0,19273206.0,,1,,,,2023-01-26T16:09:00.000Z,22966.77243535614,33127286570.86679,25.1174,-0.5500105,1.74109484,10.09586296,36.61819124,38.57121005,12.05117642,442643336301.74054,42.2795,482302221142.48,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
1,1027,Ethereum,ETH,ethereum,6380,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-01-26T16:09:00.000Z,1592.037014153431,10525164597.184477,10.643,-1.07769055,3.11177839,3.80656868,31.30551843,30.77257593,3.49232187,194823724583.79776,18.6316,194823724583.8,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
2,825,Tether,USDT,tether,46439,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,67188360789.139,73141766321.23428,,3,,,,2023-01-26T16:09:00.000Z,1.0001257429962882,41881688481.77573,16.5114,0.00439946,-0.00132882,0.0097997,0.02457136,0.05676013,-0.00122404,67196809254.94032,6.4183,73150963386.09,,2023-01-26T16:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-01-26 16:11:02.699563
3,1839,BNB,BNB,bnb,1170,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,157902660.30609864,159979963.59042934,,4,,,,2023-01-26T16:09:00.000Z,303.9494293593816,638548476.9822,-3.4056,-1.01733952,1.34783649,4.69658594,23.84986318,-3.06122455,2.32013547,47994423494.36696,4.5842,60789885871.88,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
4,3408,USD Coin,USDC,usd-coin,9672,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,43557273901.72265,43557273901.72265,,5,,,,2023-01-26T16:09:00.000Z,0.9996869875604417,3943968583.777124,3.6825,-0.04048365,-0.03156461,-0.04535432,-0.03362069,-0.05152862,-0.03495584,43543639933.158165,4.1642,43543639933.16,,2023-01-26T16:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-01-26 16:11:02.699563
5,52,XRP,XRP,xrp,879,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50796877639.0,99989148225.0,,6,,,,2023-01-26T16:09:00.000Z,0.40974328715083674,1050556037.1413044,-8.7713,-0.60732236,0.87713215,5.10994432,10.76700595,1.50671607,-11.91544163,20813679620.802696,1.988,40974328715.08,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
6,4687,Binance USD,BUSD,binance-usd,6078,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,15521705766.183376,15521705766.183376,,7,,,,2023-01-26T16:09:00.000Z,0.9999832539888865,11868528117.04694,17.7931,-0.04255277,0.00896225,-0.05788352,-0.00194767,0.00520504,0.00157532,15521445839.526115,1.4825,15521445839.53,,2023-01-26T16:09:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-01-26 16:11:02.699563
7,2010,Cardano,ADA,cardano,638,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34584900585.535,35394996829.841,,8,,,,2023-01-26T16:09:00.000Z,0.3777590831640489,501682868.5361471,23.9357,-0.54526454,6.26531476,13.15350795,44.94167516,18.59715594,-5.15457921,13064760336.51148,1.2494,16999158742.38,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
8,74,Dogecoin,DOGE,dogecoin,636,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-01-26T16:09:00.000Z,0.08597780701078142,541149836.93399,0.5057,-0.7708349,2.51651955,6.22818178,15.73212894,-16.84483036,-0.89648131,11406741368.949163,1.09,11406741368.95,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
9,3890,Polygon,MATIC,polygon,574,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2023-01-26T16:09:00.000Z,1.0750112901625803,797531336.1004251,72.6023,-0.87116002,12.90429357,15.17165695,32.92471523,24.45485942,15.54249253,9389489897.795624,0.8968,10750112901.63,,2023-01-26T16:09:00.000Z,,,,,,2023-01-26 16:11:02.699563
